"Edad","2010","2010","2011","2011","2012","2012","2013","2013","2014","2014","2015","2015","2016","2016","2017","2017","2018","2018","2019","2019","2020","2020","2021","2021","2022","2022"
"","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer"
"1-4 años","3,075","2,576","3,122","2,557","2,862","2,482","2,989","2,359","2,787","2,337","2,761","2,267","2,722","2,357","2,640","2,270","2,482","2,123","2,529","2,170","2,197","1,689","2,162","1,845","2,269","1,921"
"5-9 años","1,603","1,276","1,588","1,252","1,595","1,227","1,512","1,146","1,500","1,148","1,365","1,115","1,418","1,105","1,400","1,172","1,326","1,142","1,357","1,134","1,332","957","1,214","1,009","1,334","1,023"
"10-14 años","2,126","1,482","2,021","1,436","2,057","1,405","1,967","1,291","1,961","1,407","1,875","1,330","1,910","1,351","1,934","1,462","1,839","1,332","1,866","1,288","1,827","1,302","1,886","1,446","1,935","1,445"
"15-19 años","7,100","2,801","7,219","2,764","7,024","2,747","6,122","2,490","5,707","2,471","5,969","2,404","6,067","2,443","6,801","2,483","6,848","2,474","6,578","2,547","6,840","2,620","6,993","2,650","6,930","2,678"
"20-24 años","10,197","3,015","10,410","2,972","10,457","3,047","9,717","2,986","9,341","2,983","9,603","3,020","10,419","3,145","11,314","3,217","11,787","3,177","11,845","3,200","12,248","3,738","12,483","3,802","11,233","3,400"
"25-29 años","11,229","3,168","11,153","3,195","10,525","3,150","10,326","3,119","9,579","3,225","9,799","3,261","10,985","3,446","12,503","3,607","13,598","3,722","14,244","3,802","15,616","4,798","16,394","5,275","14,032","4,127"
"30-34 años","12,228","3,723","11,788","3,664","11,397","3,749","11,110","3,730","10,636","3,868","10,644","3,760","11,617","3,929","13,044","4,010","13,567","4,244","14,320","4,415","17,053","5,835","18,661","6,465","15,031","4,984"
"35-39 años","13,446","4,838","13,366","4,843","12,909","4,973","12,788","4,895","12,343","5,019","12,510","5,014","13,451","5,262","14,253","5,319","15,097","5,439","15,447","5,652","20,430","7,810","22,504","9,214","15,960","6,248"
"40-44 años","13,723","6,202","13,987","6,143","13,878","6,335","14,151","6,628","14,683","6,902","14,826","7,011","16,391","7,473","17,141","7,612","17,735","7,708","17,987","7,808","26,290","11,631","27,355","12,881","18,584","8,579"
"45-49 años","15,704","8,867","15,796","8,647","16,259","8,809","16,485","9,359","16,832","9,599","17,378","9,557","18,428","9,994","19,411","10,435","20,515","10,697","21,588","11,333","35,896","17,816","37,239","19,526","23,596","12,141"
"50-54 años","18,385","11,685","18,665","11,962","19,158","12,351","19,902","12,816","20,689","13,165","20,988","13,446","22,583","14,141","23,059","14,281","23,920","14,687","24,976","14,920","44,034","23,909","43,314","25,168","28,059","16,559"
"55-59 años","20,786","14,799","21,130","14,911","22,267","15,791","23,267","16,366","24,202","17,228","24,958","17,544","26,948","18,644","27,453","18,907","28,526","19,532","29,882","19,993","53,798","32,626","52,256","34,808","33,460","22,491"
"60-64 años","23,443","18,371","23,608","18,175","24,622","18,708","25,568","19,698","26,563","20,494","27,861","21,388","30,071","22,709","30,705","23,321","32,228","24,107","34,149","24,982","62,714","40,722","60,002","43,171","38,952","28,215"
"65-69 años","26,005","21,237","26,022","21,265","27,135","22,048","28,526","22,873","29,522","23,652","30,362","24,891","32,403","25,739","32,661","26,074","33,973","26,777","35,514","28,652","64,886","45,272","64,436","47,721","42,426","33,318"
"70-74 años","29,572","25,484","29,292","24,992","29,809","25,406","30,973","26,484","31,824","27,345","33,102","27,929","34,352","29,303","34,997","29,484","36,251","30,113","38,178","31,622","64,760","47,599","64,721","50,205","45,234","36,877"
"75-79 años","31,559","29,218","30,884","28,582","32,257","29,372","33,608","30,951","34,101","31,276","35,596","32,691","36,308","33,233","36,624","33,570","37,538","34,291","39,162","35,161","61,601","49,012","62,680","51,983","46,545","40,974"
"80-84 años","29,250","30,709","29,548","30,807","30,406","31,331","32,682","33,980","33,377","34,433","34,715","35,913","35,752","36,444","36,145","37,246","36,878","37,822","38,280","39,221","55,785","50,207","56,939","52,333","44,760","44,372"
"85 años y más","44,253","57,122","43,731","56,022","44,601","57,359","48,151","61,526","48,905","62,940","52,408","67,355","54,409","70,780","55,108","72,317","56,420","74,329","58,118","76,747","76,609","90,213","80,483","96,245","70,885","92,014"
