"Edad","2010","2010","2011","2011","2012","2012","2013","2013","2014","2014","2015","2015","2016","2016","2017","2017","2018","2018","2019","2019","2020","2020","2021","2021","2022","2022"
"","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres"
"Total","39,692","43,267","38,862","41,926","41,236","43,819","43,387","46,080","45,774","48,255","47,816","50,705","51,724","53,847","52,309","54,216","49,679","51,576","51,710","52,642","78,922","72,094","71,330","69,396","57,174","57,837"
"0 a 4 años","1","5","5","8","4","5","0","8","1","5","3","5","1","3","1","8","3","4","3","9","1","3","7","3","3","2"
"5 a 9 años","8","4","3","3","5","11","5","2","2","6","1","5","2","2","3","3","2","2","7","10","2","3","4","5","6","6"
"10 a 14 años","9","19","7","12","7","12","5","12","3","14","10","15","8","22","11","13","6","14","13","20","15","20","13","19","10","17"
"15 a 19 años","27","37","29","44","25","41","34","49","24","51","29","46","43","53","37","32","30","43","44","42","49","68","57","55","35","53"
"20 a 24 años","85","99","77","76","67","74","76","76","72","78","77","82","99","103","96","96","89","87","103","97","131","131","121","113","109","93"
"25 a 29 años","135","145","151","122","130","136","162","130","166","150","172","159","182","177","191","185","193","146","196","159","323","222","284","218","212","166"
"30 a 34 años","335","193","314","184","268","203","313","235","322","231","307","242","317","255","342","252","373","273","358","256","577","415","508","342","396","263"
"35 a 39 años","576","384","579","388","571","393","669","417","622","408","636","467","716","497","675","533","653","495","751","454","1,066","741","970","676","797","520"
"40 a 44 años","1,132","792","1,075","667","1,095","791","1,187","846","1,313","876","1,276","893","1,462","1,041","1,501","993","1,463","1,029","1,419","966","2,267","1,488","1,940","1,376","1,435","1,077"
"45 a 49 años","1,973","1,511","2,037","1,455","2,133","1,496","2,140","1,599","2,261","1,700","2,284","1,670","2,639","1,824","2,587","1,887","2,522","1,860","2,594","1,915","4,143","2,811","3,823","2,639","2,769","1,917"
"50 a 54 años","3,150","2,588","3,054","2,487","3,273","2,763","3,443","2,726","3,809","2,999","3,748","3,049","4,239","3,393","4,167","3,319","4,009","3,117","4,155","3,039","6,479","4,365","5,608","4,013","4,185","3,128"
"55 a 59 años","4,359","3,870","4,182","3,809","4,510","4,075","4,735","4,232","5,092","4,432","5,266","4,646","5,775","4,920","5,759","4,948","5,599","4,753","5,984","4,771","8,865","6,488","7,684","6,157","5,959","4,834"
"60 a 64 años","5,104","5,225","4,908","4,977","5,456","5,102","5,291","5,361","5,810","5,673","6,154","5,817","6,752","6,293","6,828","6,428","6,610","6,115","6,869","6,169","10,551","8,548","9,299","8,185","7,244","6,255"
"65 a 69 años","5,412","5,820","5,235","5,617","5,628","5,930","5,920","5,922","6,246","6,275","6,586","6,783","7,069","6,952","7,080","6,908","6,731","6,637","6,923","6,942","11,089","9,624","9,682","8,973","7,900","7,391"
"70 a 74 años","5,471","6,248","5,327","5,837","5,455","5,998","5,870","6,383","6,138","6,709","6,447","6,804","6,785","7,224","6,878","7,301","6,444","6,776","6,739","6,983","10,408","9,585","9,555","9,268","7,644","7,643"
"75 a 79 años","4,878","5,988","4,887","5,958","5,287","5,985","5,349","6,428","5,659","6,554","5,876","6,897","6,102","7,056","6,272","7,077","5,872","6,794","6,097","6,898","9,049","9,253","8,473","9,190","6,860","7,854"
"80 a 84 años","3,658","4,986","3,643","4,891","3,840","5,216","4,305","5,597","4,270","5,802","4,637","6,208","4,925","6,448","5,099","6,508","4,614","6,113","4,807","6,359","7,139","8,476","6,753","8,197","5,663","7,332"
"85 años y más","3,344","5,320","3,308","5,355","3,461","5,567","3,863","6,036","3,949","6,275","4,297","6,907","4,590","7,569","4,767","7,715","4,447","7,307","4,630","7,545","6,749","9,835","6,534","9,964","5,924","9,274"
