Periodo,Entidad de Residencia,Defunciones por Diabetes Tipo II,Poblacion Total,Tasa de Mortalidad por Diabetes Tipo II
1998,Baja California Sur,61,439911,13.86644117
1998,Campeche,85,673672,12.61741619
1998,Colima,87,538560,16.15418895
1998,Distrito Federal,2071,8912913,23.23594991
1998,Jalisco,910,6401411,14.2156159
1998,México,2084,12424077,16.77388187
1999,Baja California Sur,75,453340,16.54387435
1999,Campeche,111,687422,16.14728653
1999,Colima,96,544150,17.64219425
1999,Distrito Federal,2778,8928176,31.11497802
1999,Jalisco,1114,6452167,17.26551715
1999,México,2497,12678984,19.69400703
2000,Baja California Sur,72,466455,15.43557256
2000,Campeche,116,700708,16.55468469
2000,Colima,98,550291,17.80875937
2000,Distrito Federal,2941,8944935,32.87894211
2000,Jalisco,1146,6513479,17.5942841
2000,México,2742,12933002,21.20157408
2001,Baja California Sur,96,480190,19.99208647
2001,Campeche,121,714008,16.94658883
2001,Colima,130,557968,23.29882717
2001,Distrito Federal,3238,8961129,36.13383983
2001,Jalisco,1172,6592401,17.77804475
2001,México,3118,13195345,23.62954512
2002,Baja California Sur,83,495522,16.75001312
2002,Campeche,198,727546,27.21477405
2002,Colima,139,566389,24.54143707
2002,Distrito Federal,3418,8973544,38.0897447
2002,Jalisco,1513,6671656,22.67802776
2002,México,3561,13459745,26.45666764
2003,Baja California Sur,104,511831,20.31920693
2003,Campeche,176,741113,23.74806541
2003,Colima,146,575411,25.37316805
2003,Distrito Federal,3934,8982214,43.79766503
2003,Jalisco,1655,6752883,24.50805086
2003,México,4020,13723512,29.29279327
2004,Baja California Sur,113,529124,21.35605265
2004,Campeche,207,754622,27.43095219
2004,Colima,176,584151,30.12919605
2004,Distrito Federal,4371,8982860,48.65933567
2004,Jalisco,1963,6823155,28.76968206
2004,México,4686,13978080,33.52391745
2005,Baja California Sur,101,546776,18.47191537
2005,Campeche,200,768097,26.03837797
2005,Colima,189,593827,31.82745143
2005,Distrito Federal,4773,8980415,53.14899144
2005,Jalisco,2159,6903508,31.27395521
2005,México,5199,14233514,36.52646845
2006,Baja California Sur,132,565024,23.3618395
2006,Campeche,250,781620,31.98485197
2006,Colima,212,605061,35.03778958
2006,Distrito Federal,5151,8977954,57.37387382
2006,Jalisco,2175,7000916,31.06736319
2006,México,5640,14497023,38.90453923
2007,Baja California Sur,154,584639,26.34104122
2007,Campeche,290,795450,36.45735118
2007,Colima,215,617146,34.83778555
2007,Distrito Federal,5416,8973450,60.35582747
2007,Jalisco,2209,7101648,31.10545609
2007,México,6089,14765300,41.23857964
2008,Baja California Sur,172,605343,28.41364317
2008,Campeche,321,809636,39.64744651
2008,Colima,244,630606,38.69293981
2008,Distrito Federal,5744,8969421,64.03980814
2008,Jalisco,2479,7213583,34.36572366
2008,México,6535,15040385,43.44968563
2009,Baja California Sur,148,626900,23.60823098
2009,Campeche,269,824071,32.6428184
2009,Colima,245,645050,37.98155182
2009,Distrito Federal,5904,8961594,65.88113677
2009,Jalisco,2722,7331993,37.12496725
2009,México,7008,15315644,45.75713565
2010,Baja California Sur,168,649616,25.86143198
2010,Campeche,360,836748,43.02370606
2010,Colima,217,658910,32.93317752
2010,Distrito Federal,6231,8944599,69.66215031
2010,Jalisco,2919,7442625,39.22003325
2010,México,7655,15571679,49.15975984
2011,Baja California Sur,183,672682,27.20453349
2011,Campeche,357,852373,41.88307232
2011,Colima,269,672263,40.01410162
2011,Distrito Federal,6056,8928400,67.82850231
2011,Jalisco,2926,7543233,38.78973379
2011,México,7715,15845558,48.68872399
2012,Baja California Sur,192,695409,27.6096513
2012,Campeche,362,866375,41.78329245
2012,Colima,321,685394,46.83437556
2012,Distrito Federal,6401,8911665,71.82720625
2012,Jalisco,3100,7644152,40.553877
2012,México,8337,16106485,51.76175932
2013,Baja California Sur,212,718196,29.51840445
2013,Campeche,403,880299,45.77989978
2013,Colima,354,698295,50.69490688
2013,Distrito Federal,5470,8893742,61.5039204
2013,Jalisco,3254,7742303,42.02883819
2013,México,8359,16364210,51.08098711
